Initial Random Variable for availability,Second Random Variable for time to pickup,Total Seconds to pIck up,,,,,,
0.742614746,16.28617529,22.28617529,,Part 2a,,,,
0.608154297,5.291255645,75.29125565,,,Value for u = 51 is 0.74261474609375,,,
0.528991699,4.557199989,10.55719999,,,Value for u = 52 is 0.3565673828125,,,
0.951965332,11.24264557,27.24264557,,,Value for u = 53 is 0.31597900390625,,,
0.89654541,9.034554737,89.03455474,,,,,,
0.768798828,1.32928031,7.32928031,,,Part 2c,,,
0.507324219,36.42998735,128,,,,,,
0.802185059,4.685301677,10.68530168,,,,,,
0.961486816,1.167549509,17.16754951,,,,,,
0.572937012,6.690147467,22.69014747,,,,,,
0.371032715,27.2234701,106,,,,,,
0.709594727,17.57360488,23.57360488,,,,,,
0.840698242,3.392761929,39.39276193,,,,,,
0.641113281,5.864791372,21.86479137,,,,,,
0.921020508,7.443651696,45.4436517,,,,,,
0.544494629,8.49484759,14.49484759,,,,,,
0.399230957,8.49484759,84,,,,,,
0.590820313,19.4450799,25.4450799,,,,,,
0.130126953,19.4450799,40,,,,,,
0.846984863,0.553079467,70.55307947,,,,,,
0.065002441,39.08105598,106,,,,,,
0.973327637,1.2819172,17.2819172,,,,,,
0.748413086,10.20988516,16.20988516,"Please note that this plot only shows the data points that gives you if they are actually available and pick the call in the given 4 tries, or if they are not unavaialble in the 4 tries. This plot does NOT show the total possible random variable that were used in all possible call trials. ",,,,,
0.755859375,7.510572714,23.51057271,,,,,,
0.836547852,14.72477431,52.72477431,,,,,,
0.842041016,1.442729124,17.44272912,,,,,,
0.846862793,5.564112414,11.56411241,,,,,,
0.971191406,14.83773404,84.83773404,,,,,,
0.605895996,0.130344014,6.130344014,,,,,,
0.523010254,1.340740847,39.34074085,,,,,,
0.705810547,0.108151923,6.108151923,,,,,,
0.671264648,22.04346033,60.04346033,,,,,,
0.596496582,2.467358084,8.467358084,,,,,,
0.608398438,12.29698184,18.29698184,,,,,,
0.830993652,4.267341045,10.26734104,,,,,,
0.97857666,9.436173248,47.43617325,,,,,,
0.922058105,3.975134738,41.97513474,,,,,,
0.981750488,0.671003278,38.67100328,,,,,,
0.673950195,0.157770903,48.1577709,,,,,,
0.918518066,6.114536475,12.11453647,,,,,,
0.948974609,10.72321063,16.72321063,,,,,,
0.781616211,1.090301204,17.0903012,,,,,,
0.859313965,2.371483018,28.37148302,,,,,,
0.713500977,0.775243529,6.775243529,,,,,,
0.842834473,1.672896013,7.672896013,,,,,,
0.532104492,2.816028795,72.81602879,,,,,,
0.662536621,7.900307734,55.90030773,,,,,,
0.879638672,22.52662116,92.52662116,,,,,,
0.543762207,7.447738193,55.44773819,,,,,,
0.933227539,3.196146816,73.19614682,,,,,,
0.923706055,0.80653633,80.80653633,,,,,,
0.866516113,1.952295347,7.952295347,,,,,,
0.522033691,16.5596012,96.5596012,,,,,,
0.564819336,0.354551819,48.35455182,,,,,,
0.92364502,16.92013065,22.92013065,,,,,,
0.383850098,16.92013065,128,,,,,,
0.564697266,3.295979405,9.295979405,,,,,,
0.772644043,21.73482002,27.73482002,,,,,,
0.502807617,0.638516472,6.638516472,,,,,,
0.881347656,22.14503847,60.14503847,,,,,,
0.730041504,22.51705178,70.51705178,,,,,,
0.803466797,4.477160562,10.47716056,,,,,,
0.893554688,7.078808572,87.07880857,,,,,,
0.935180664,11.17368522,49.17368522,,,,,,
0.714111328,3.221985177,19.22198518,,,,,,
0.597839355,8.88312342,14.88312342,,,,,,
0.501281738,14.68237585,52.68237585,,,,,,
0.827636719,4.801664907,10.80166491,,,,,,
0.875549316,13.35002705,61.35002705,,,,,,
0.796630859,10.89084385,16.89084385,,,,,,
0.674499512,11.25012454,17.25012454,,,,,,
0.347595215,11.25012454,84,,,,,,
0.717407227,21.33382806,27.33382806,,,,,,
0.674865723,13.72109734,19.72109734,,,,,,
0.860534668,3.316239088,41.31623909,,,,,,
0.025817871,30.62150006,106,,,,,,
0.678833008,4.770015577,10.77001558,,,,,,
0.655944824,2.199583157,72.19958316,,,,,,
0.688293457,6.4432903,22.4432903,,,,,,
0.563415527,13.44846161,29.44846161,,,,,,
0.56072998,35.70518298,106,,,,,,
0.886047363,1.584811449,39.58481145,,,,,,
0.782714844,18.25801517,24.25801517,,,,,,
0.979064941,1.282732224,71.28273222,,,,,,
0.845458984,1.92818858,7.92818858,,,,,,
0.81817627,23.53469487,71.53469487,,,,,,
0.826171875,15.00024182,21.00024182,,,,,,
0.844360352,22.20546858,60.20546858,,,,,,
0.715881348,4.77655687,10.77655687,,,,,,
0.698425293,6.845918576,44.84591858,,,,,,
0.694213867,9.114123383,15.11412338,,,,,,
0.984680176,7.292076431,13.29207643,,,,,,
0.791503906,0.631566441,6.631566441,,,,,,
0.993286133,13.03557938,51.03557938,,,,,,
0.937072754,4.278843813,10.27884381,,,,,,
0.901123047,3.476623801,9.476623801,,,,,,
0.804077148,5.265103173,43.26510317,,,,,,
0.885559082,0.993639229,6.993639229,,,,,,
0.14263916,0.993639229,62,,,,,,
0.020812988,0.993639229,84,,,,,,
0.642028809,9.416893555,47.41689355,,,,,,
0.931762695,5.658808215,11.65880821,,,,,,
0.832580566,4.718898448,10.71889845,,,,,,
0.890441895,12.41387587,114.4138759,,,,,,
0.835876465,1.301493061,39.30149306,,,,,,
0.721313477,5.832595795,11.83259579,,,,,,
0.773681641,24.16529409,62.16529409,,,,,,
0.914916992,11.69207925,49.69207925,,,,,,
0.994445801,5.116103046,11.11610305,,,,,,
0.871582031,1.44438122,7.44438122,,,,,,
0.665588379,8.858580397,56.8585804,,,,,,
0.956726074,8.265147325,24.26514732,,,,,,
0.832824707,0.292851157,38.29285116,,,,,,
0.946289063,9.983928173,15.98392817,,,,,,
0.808654785,4.127061489,74.12706149,,,,,,
0.73651123,3.112316992,19.11231699,,,,,,
0.806518555,4.994444561,10.99444456,,,,,,
0.905578613,5.811179965,11.81117997,,,,,,
0.942871094,9.980562586,15.98056259,,,,,,
0.573669434,17.77486076,23.77486076,,,,,,
0.125671387,17.77486076,84,,,,,,
0.71270752,8.385338876,24.38533888,,,,,,
0.047912598,8.385338876,106,,,,,,
0.624206543,2.907135523,18.90713552,,,,,,
0.754211426,7.599925323,45.59992532,,,,,,
0.701660156,1.457606184,7.457606184,,,,,,
0.872192383,15.7138446,31.7138446,,,,,,
0.998779297,19.52308667,35.52308667,,,,,,
0.732116699,1.678791371,7.678791371,,,,,,
0.530090332,3.256523097,41.2565231,,,,,,
0.22467041,3.256523097,106,,,,,,
0.659423828,3.309482059,9.309482059,,,,,,
0.540344238,10.1074226,58.1074226,,,,,,
0.789611816,0.75026791,80.75026791,,,,,,
0.776062012,15.02583364,53.02583364,,,,,,
0.730834961,10.93084388,16.93084388,,,,,,
0.725219727,3.766820751,105.7668208,,,,,,
0.996337891,8.348567381,46.34856738,,,,,,
0.712097168,21.09781115,27.09781115,,,,,,
0.606323242,0.350026364,6.350026364,,,,,,
0.752380371,4.329167143,74.32916714,,,,,,
0.257507324,25.00614909,128,,,,,,
0.977355957,19.11279029,57.11279029,,,,,,
0.731445313,13.46869581,19.46869581,,,,,,
0.020751953,13.46869581,62,,,,,,
0.91229248,1.237987926,7.237987926,,,,,,
0.925109863,8.220020808,46.22002081,,,,,,
0.686950684,2.43411831,18.43411831,,,,,,
0.50012207,5.125080883,11.12508088,,,,,,
0.893127441,15.16498057,21.16498057,,,,,,
0.540771484,13.48220425,19.48220425,,,,,,
0.60723877,9.609467305,35.60946731,,,,,,
0.896484375,23.63927069,29.63927069,,,,,,
0.852172852,3.035669647,19.03566965,,,,,,
0.732666016,15.48808206,53.48808206,,,,,,
0.549987793,7.425959603,13.4259596,,,,,,
0.523742676,0.313884026,16.31388403,,,,,,
0.611816406,13.62952879,19.62952879,,,,,,
0.096435547,38.2012728,84,,,,,,
0.532897949,7.784854538,13.78485454,,,,,,
0.936889648,12.80343888,18.80343888,,,,,,
0.749023438,1.89211899,17.89211899,,,,,,
0.784118652,13.98831721,19.98831721,,,,,,
0.696899414,2.108434603,8.108434603,,,,,,
0.625183105,9.945280797,57.9452808,,,,,,
0.808105469,13.94375545,39.94375545,,,,,,
0.868591309,3.083871972,9.083871972,,,,,,
0.746643066,0.941240866,16.94124087,,,,,,
0.679504395,9.871691716,89.87169172,,,,,,
0.812438965,5.451685842,43.45168584,,,,,,
0.137878418,26.06366861,84,,,,,,
0.533508301,18.31853645,56.31853645,,,,,,
0.691894531,7.402863077,13.40286308,,,,,,
0.815551758,3.32976457,19.32976457,,,,,,
0.345092773,46.39596097,106,,,,,,
0.516601563,22.40754893,38.40754893,,,,,,
0.948852539,0.934113329,38.93411333,,,,,,
0.972717285,5.760174106,11.76017411,,,,,,
0.993408203,20.4566109,26.4566109,,,,,,
0.689331055,20.99625906,36.99625906,,,,,,
0.944641113,2.931423247,8.931423247,,,,,,
0.800231934,22.32254268,60.32254268,,,,,,
0.62902832,15.10036006,21.10036006,,,,,,
0.888427734,4.06523755,42.06523755,,,,,,
0.830444336,14.38485011,52.38485011,,,,,,
0.50177002,14.21843201,20.21843201,,,,,,
0.711975098,50.14329106,106,,,,,,
0.293273926,50.14329106,128,,,,,,
0.521972656,18.81401968,24.81401968,,,,,,
0.922302246,4.84984455,10.84984455,,,,,,
0.333679199,33.18931253,106,,,,,,
0.522399902,19.56041174,99.56041174,,,,,,
0.604736328,2.362561748,72.36256175,,,,,,
0.579406738,4.410337568,52.41033757,,,,,,
0.818481445,2.515132795,72.5151328,,,,,,
0.703674316,1.846756788,7.846756788,,,,,,
0.877624512,2.480859942,18.48085994,,,,,,
0.300720215,2.480859942,106,,,,,,
0.733032227,3.836193824,9.836193824,,,,,,
0.563659668,2.841060673,50.84106067,,,,,,
0.989135742,0.252391578,6.252391578,,,,,,
0.803039551,8.028316533,14.02831653,,,,,,
0.786682129,12.3276332,70.3276332,,,,,,
0.859069824,21.44703644,59.44703644,,,,,,
0.516540527,12.40357633,114.4035763,,,,,,
0.702758789,3.063055061,9.063055061,,,,,,
0.554748535,6.422008149,12.42200815,,,,,,
0.964172363,2.962320935,82.96232094,,,,,,
0.913513184,21.68563046,59.68563046,,,,,,
0.75793457,15.33201241,21.33201241,,,,,,
0.807189941,8.484445756,14.48444576,,,,,,
0.646850586,17.82975121,87.82975121,,,,,,
0.966796875,4.04777852,42.04777852,,,,,,
0.177978516,29.56953524,62,,,,,,
0.432128906,29.56953524,106,,,,,,
0.508911133,24.62957945,62.62957945,,,,,,
0.765197754,5.913846727,11.91384673,,,,,,
0.463684082,5.913846727,84,,,,,,
0.47076416,5.913846727,128,,,,,,
0.976745605,0.713678956,16.71367896,,,,,,
0.97644043,13.14459176,19.14459176,,,,,,
0.447387695,13.14459176,62,,,,,,
0.660705566,0.934905068,6.934905068,,,,,,
0.468566895,37.68246002,106,,,,,,
0.789001465,2.863355152,40.86335515,,,,,,
0.736938477,21.4645483,27.4645483,,,,,,
0.664306641,19.41549591,57.41549591,,,,,,
0.989440918,6.980129215,12.98012922,,,,,,
0.680541992,19.8441129,25.8441129,,,,,,
0.512207031,0.591489333,16.59148933,,,,,,
0.842224121,16.00493439,22.00493439,,,,,,
0.573364258,19.71088393,25.71088393,,,,,,
0.477905273,19.71088393,106,,,,,,
0.456665039,28.31985213,106,,,,,,
0.572143555,10.23048307,90.23048307,,,,,,
0.983703613,5.567606373,11.56760637,,,,,,
0.583496094,6.87445913,12.87445913,,,,,,
0.88684082,2.574892973,18.57489297,,,,,,
0.583740234,1.611587835,39.61158784,,,,,,
0.501953125,2.642252628,104.6422526,,,,,,
0.900634766,14.96705384,94.96705384,,,,,,
0.651245117,5.38037345,43.38037345,,,,,,
0.832336426,2.753215935,8.753215935,,,,,,
0.648864746,5.137436385,43.13743639,,,,,,
0.972229004,0.589181271,38.58918127,,,,,,
0.935241699,0.120722402,38.1207224,,,,,,
0.636108398,11.74458724,17.74458724,,,,,,
0.998962402,16.8394028,64.8394028,,,,,,
0.55279541,14.51426432,52.51426432,,,,,,
0.550048828,2.61398836,8.61398836,,,,,,
0.652526855,24.68674964,30.68674964,,,,,,
0.91784668,1.867276921,7.867276921,,,,,,
0.788574219,15.80644606,53.80644606,,,,,,
0.708435059,5.553636639,11.55363664,,,,,,
0.617736816,9.062577583,25.06257758,,,,,,
0.882568359,7.480480369,13.48048037,,,,,,
0.979187012,0.563054211,6.563054211,,,,,,
0.996459961,7.022133196,13.0221332,,,,,,
0.863098145,3.053604754,9.053604754,,,,,,
0.740844727,12.92539767,82.92539767,,,,,,
0.886962891,1.981633105,39.98163311,,,,,,
0.922363281,9.327328965,111.327329,,,,,,
0.952270508,1.921309818,39.92130982,,,,,,
0.544311523,3.537447999,83.537448,,,,,,
0.555480957,9.87002447,15.87002447,,,,,,
0.872070313,18.70561154,24.70561154,,,,,,
0.993103027,8.125948084,14.12594808,,,,,,
0.718811035,17.95663324,55.95663324,,,,,,
0.911376953,15.74916671,21.74916671,,,,,,
0.61541748,4.025222123,10.02522212,,,,,,
0.743652344,3.514848197,29.5148482,,,,,,
0.721252441,4.701546434,30.70154643,,,,,,
0.931396484,15.50140208,21.50140208,,,,,,
0.037109375,15.50140208,84,,,,,,
0.867797852,4.966714272,20.96671427,,,,,,
0.623291016,14.94158693,52.94158693,,,,,,
0.842651367,11.18670142,49.18670142,,,,,,
0.601867676,3.677927757,9.677927757,,,,,,
0.512145996,3.971055187,41.97105519,,,,,,
0.736022949,16.75033758,96.75033758,,,,,,
0.752746582,6.886154404,44.8861544,,,,,,
0.889648438,5.594427238,11.59442724,,,,,,
0.737243652,13.3991434,19.3991434,,,,,,
0.712524414,3.572907271,9.572907271,,,,,,
0.63482666,3.920177471,9.920177471,,,,,,
0.138000488,45.45430158,84,,,,,,
0.705200195,15.7764085,85.7764085,,,,,,
0.574768066,0.489589279,6.489589279,,,,,,
0.730224609,2.602155386,8.602155386,,,,,,
0.529968262,5.94505923,11.94505923,,,,,,
0.765563965,0.251643611,102.2516436,,,,,,
0.841003418,3.419027595,83.4190276,,,,,,
0.568786621,1.304758811,81.30475881,,,,,,
0.907775879,13.93673449,51.93673449,,,,,,
0.660888672,8.320696212,14.32069621,,,,,,
0.610717773,9.338488049,47.33848805,,,,,,
0.700012207,2.329610597,8.329610597,,,,,,
0.657226563,0.169650622,6.169650622,,,,,,
0.964477539,11.21464089,49.21464089,,,,,,
0.79119873,2.577616429,72.57761643,,,,,,
0.903808594,22.94053924,70.94053924,,,,,,
0.279052734,22.94053924,84,,,,,,
0.572265625,5.735342841,63.73534284,,,,,,
0.345947266,5.735342841,84,,,,,,
0.162597656,5.735342841,62,,,,,,
0.584716797,15.83107829,95.83107829,,,,,,
0.536804199,9.581766838,15.58176684,,,,,,
0.768920898,0.961855341,6.961855341,,,,,,
0.966430664,8.901563685,88.90156368,,,,,,
0.71685791,11.35532246,17.35532246,,,,,,
0.80065918,0.730013426,48.73001343,,,,,,
0.657531738,16.68838292,22.68838292,,,,,,
0.934997559,5.190371851,21.19037185,,,,,,
0.531799316,1.216894012,39.21689401,,,,,,
0.577880859,9.134490252,15.13449025,,,,,,
0.652160645,2.302959712,50.30295971,,,,,,
0.748657227,16.58874865,86.58874865,,,,,,
0.754760742,18.39631606,120.3963161,,,,,,
0.881164551,14.32428674,20.32428674,,,,,,
0.742675781,4.395538411,10.39553841,,,,,,
0.932067871,1.699869894,7.699869894,,,,,,
0.710083008,11.77581184,17.77581184,,,,,,
0.614807129,1.179664603,7.179664603,,,,,,
0.677124023,0.740915439,48.74091544,,,,,,
0.844543457,19.80971249,25.80971249,,,,,,
0.718383789,24.35331637,94.35331637,,,,,,
0.882873535,2.522360623,8.522360623,,,,,,
0.856689453,16.47547176,22.47547176,,,,,,
0.96697998,4.978907705,10.97890771,,,,,,
0.896362305,4.749324978,10.74932498,,,,,,
0.27355957,4.749324978,84,,,,,,
0.635314941,0.580722172,6.580722172,,,,,,
0.626708984,13.65464057,19.65464057,,,,,,
0.912475586,4.094049089,42.09404909,,,,,,
0.97442627,20.08381159,26.08381159,,,,,,
0.875610352,15.67321709,41.67321709,,,,,,
0.225463867,15.67321709,84,,,,,,
0.024536133,15.67321709,62,,,,,,
0.593322754,2.249834856,8.249834856,,,,,,
0.682373047,2.966071521,8.966071521,,,,,,
0.459960938,2.966071521,106,,,,,,
0.79888916,1.780307662,71.78030766,,,,,,
0.968017578,4.241239325,10.24123932,,,,,,
0.679870605,9.150180631,15.15018063,,,,,,
0.74206543,14.12775748,20.12775748,,,,,,
0.769042969,1.474986096,17.4749861,,,,,,
0.548278809,20.28463662,26.28463662,,,,,,
0.963012695,0.996026418,6.996026418,,,,,,
0.631530762,3.780864053,73.78086405,,,,,,
0.945678711,9.805181916,15.80518192,,,,,,
0.742126465,5.079140307,53.07914031,,,,,,
0.752563477,1.559762734,7.559762734,,,,,,
0.554931641,8.722968516,24.72296852,,,,,,
0.692565918,3.913071774,9.913071774,,,,,,
0.295349121,3.913071774,84,,,,,,
0.362976074,35.67650913,106,,,,,,
0.707946777,1.106353644,103.1063536,,,,,,
0.829345703,14.02832902,84.02832902,,,,,,
0.224121094,14.02832902,84,,,,,,
0.974365234,34.72701693,106,,,,,,
0.531921387,3.664998329,9.664998329,,,,,,
0.728881836,19.32717904,25.32717904,,,,,,
0.86895752,11.89955465,17.89955465,,,,,,
0.642578125,5.172325038,11.17232504,,,,,,
0.791259766,3.093346156,83.09334616,,,,,,
0.910461426,21.29488805,69.29488805,,,,,,
0.982910156,8.360322005,14.360322,,,,,,
0.903442383,6.780016294,22.78001629,,,,,,
0.800354004,2.404549507,8.404549507,,,,,,
0.780029297,5.282152667,11.28215267,,,,,,
0.901733398,14.93650003,30.93650003,,,,,,
0.686340332,7.290731667,13.29073167,,,,,,
0.745117188,7.749875209,13.74987521,,,,,,
0.952087402,3.750791362,9.750791362,,,,,,
0.88092041,4.165345635,42.16534563,,,,,,
0.68347168,8.857048124,78.85704812,,,,,,
0.591918945,11.93118564,91.93118564,,,,,,
0.262084961,11.93118564,106,,,,,,
0.53515625,9.801866083,47.80186608,,,,,,
0.756469727,2.589425218,40.58942522,,,,,,
0.995178223,4.871808499,10.8718085,,,,,,
0.777587891,8.397129591,14.39712959,,,,,,
0.562988281,20.52123576,78.52123576,,,,,,
0.658630371,0.417329688,6.417329688,,,,,,
0.663757324,8.867778149,88.86777815,,,,,,
0.946228027,5.906655357,63.90665536,,,,,,
0.802001953,11.13842656,59.13842656,,,,,,
0.779174805,4.296642533,42.29664253,,,,,,
0.593200684,0.427951172,48.42795117,,,,,,
0.53137207,10.39306844,16.39306844,,,,,,
0.549377441,7.579246359,13.57924636,,,,,,
0.582702637,7.890408493,45.89040849,,,,,,
0.545288086,20.47676881,26.47676881,,,,,,
0.76348877,14.59555377,20.59555377,,,,,,
0.883422852,2.48806715,28.48806715,,,,,,
0.956237793,5.42403075,53.42403075,,,,,,
0.608276367,0.923034457,6.923034457,,,,,,
0.679992676,4.7026302,10.7026302,,,,,,
0.893066406,4.292452223,10.29245222,,,,,,
0.965270996,15.84752792,21.84752792,,,,,,
0.782348633,0.035942446,6.035942446,,,,,,
0.877685547,6.993239672,22.99323967,,,,,,
0.939147949,9.951993145,15.95199314,,,,,,
0.690368652,54.26732373,106,,,,,,
0.728149414,19.49702803,25.49702803,,,,,,
0.96295166,1.291701139,7.291701139,,,,,,
0.913330078,7.82274709,13.82274709,,,,,,
0.62487793,2.594879351,18.59487935,,,,,,
0.774841309,18.53966248,66.53966248,,,,,,
0.733093262,24.29216265,104.2921627,,,,,,
0.578491211,23.51388862,29.51388862,,,,,,
0.835754395,6.362120314,12.36212031,,,,,,
0.5703125,3.717798215,9.717798215,,,,,,
0.718688965,4.310271155,10.31027115,,,,,,
0.760375977,8.72145346,14.72145346,,,,,,
0.827209473,14.55853574,20.55853574,,,,,,
0.544128418,9.709392803,25.7093928,,,,,,
0.689758301,3.675937707,41.67593771,,,,,,
0.973144531,1.68131884,7.68131884,,,,,,
0.735900879,6.60602604,54.60602604,,,,,,
0.876342773,17.02256663,65.02256663,,,,,,
0.797851563,19.75259672,57.75259672,,,,,,
0.980102539,3.231569077,19.23156908,,,,,,
0.628967285,3.909013264,9.909013264,,,,,,
0.774658203,12.49036851,18.49036851,,,,,,
0.544433594,6.056159953,86.05615995,,,,,,
0.66027832,2.233943153,40.23394315,,,,,,
0.669677734,23.59209876,39.59209876,,,,,,
0.633483887,0.540048069,6.540048069,,,,,,
0.65802002,2.351864971,40.35186497,,,,,,
0.712890625,6.160953471,12.16095347,,,,,,
0.236572266,6.160953471,106,,,,,,
0.882019043,7.390653478,13.39065348,,,,,,
0.799682617,0.77836914,6.77836914,,,,,,
0.803222656,6.790330004,44.79033,,,,,,
0.828552246,18.47801851,24.47801851,,,,,,
0.661254883,8.533562104,14.5335621,,,,,,
0.975341797,17.3881395,55.3881395,,,,,,
0.739929199,4.139464591,10.13946459,,,,,,
0.975402832,1.732826501,17.7328265,,,,,,
0.982055664,0.867005683,70.86700568,,,,,,
0.707214355,7.476382708,55.47638271,,,,,,
0.56628418,4.616236738,10.61623674,,,,,,
0.735656738,3.624311914,9.624311914,,,,,,
0.749511719,2.748610293,8.748610293,,,,,,
0.849731445,7.635853494,45.63585349,,,,,,
0.968505859,0.96661756,38.96661756,,,,,,
0.60546875,44.9786779,128,,,,,,
0.764282227,1.25017438,39.25017438,,,,,,
0.659240723,1.649343503,7.649343503,,,,,,
0.969909668,1.199883648,39.19988365,,,,,,
0.520385742,7.117183198,13.1171832,,,,,,
0.959289551,12.97064415,18.97064415,,,,,,
0.442932129,12.97064415,128,,,,,,
0.649169922,0.426433241,6.426433241,,,,,,
0.942749023,6.711910956,44.71191096,,,,,,
0.583007813,13.67522573,51.67522573,,,,,,
0.734008789,7.586135388,45.58613539,,,,,,
0.747314453,5.3437322,43.3437322,,,,,,
0.67010498,18.67084906,24.67084906,,,,,,
0.661987305,16.02440814,22.02440814,,,,,,
0.704589844,21.62331578,37.62331578,,,,,,
0.819763184,13.09868588,19.09868588,,,,,,
0.684265137,13.69355334,93.69355334,,,,,,
0.55255127,0.90406587,16.90406587,,,,,,
0.891235352,8.61437049,56.61437049,,,,,,
0.700256348,22.15895689,28.15895689,,,,,,
0.959228516,10.22189631,16.22189631,,,,,,
0.807800293,8.167827903,14.1678279,,,,,,
0.991088867,7.51879283,13.51879283,,,,,,
0.713378906,2.090113323,40.09011332,,,,,,
0.691833496,7.798874869,13.79887487,,,,,,
0.540161133,6.350924543,12.35092454,,,,,,
0.540710449,1.091103316,49.09110332,,,,,,
0.600952148,16.86923872,22.86923872,,,,,,
0.619934082,7.320351339,13.32035134,,,,,,
0.600585938,1.765025362,7.765025362,,,,,,
0.858642578,33.50775873,84,,,,,,
0.50769043,6.950029412,44.95002941,,,,,,
0.478637695,6.950029412,106,,,,,,
0.816162109,10.18761057,48.18761057,,,,,,
0.624816895,10.51031326,80.51031326,,,,,,
0.640625,0.325919381,6.325919381,,,,,,
0.768188477,3.681908847,41.68190885,,,,,,
0.211791992,3.681908847,128,,,,,,
0.793457031,10.51734932,48.51734932,,,,,,
0.748474121,4.784192886,10.78419289,,,,,,
0.604614258,7.466826937,13.46682694,,,,,,
0.566101074,4.123962716,52.12396272,,,,,,
0.567199707,8.364732959,24.36473296,,,,,,
0.661071777,2.065728381,40.06572838,,,,,,
0.793029785,5.428635508,43.42863551,,,,,,
0.719970703,5.659981981,11.65998198,,,,,,
0.864746094,4.758032462,62.75803246,,,,,,
0.933044434,12.64063134,18.64063134,,,,,,
0.91809082,21.4295501,27.4295501,,,,,,
0.920471191,5.027805717,11.02780572,,,,,,
0.735046387,12.55900549,50.55900549,,,,,,
0.994506836,5.888695763,11.88869576,,,,,,
0.395141602,43.00515731,106,,,,,,